PMID	row_count	min_ensure_id	max_ensure_id	year	journal	title	doi	pmcid	status	pubmed_url	doi_url	pmc_html	pmc_xml	pmc_pdf	supplementary_downloaded	supplementary_attempted	missing_pdbid	missing_origin_secondary_structure	missing_sup_secondary_structure	missing_origin_sequence	missing_sup_sequence	manual_reasons
17360621	39			2007	Proceedings of the National Academy of Sciences of the United States of America	Pyrrolysine is not hardwired for cotranslational insertion at UAG codons.	10.1073/pnas.0611634104	PMC1805618	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/17360621/	https://doi.org/10.1073/pnas.0611634104	field-curation-workdir/full_tRNAtherapeutics/papers/17360621/17360621_PMC1805618.html	field-curation-workdir/full_tRNAtherapeutics/papers/17360621/17360621_PMC1805618.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
17685515	8			2007	Journal of the American Chemical Society	Site-specific incorporation of tryptophan analogues into recombinant proteins in bacterial cells.	10.1021/ja071773r		manual_required	https://pubmed.ncbi.nlm.nih.gov/17685515/	https://doi.org/10.1021/ja071773r				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: Remote end closed connection without response
17698637	2			2007	RNA (New York, N.Y.)	Improved amber and opal suppressor tRNAs for incorporation of unnatural amino acids in vivo. Part 2: evaluating suppression efficiency.	10.1261/rna.667607	PMC1986817	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/17698637/	https://doi.org/10.1261/rna.667607	field-curation-workdir/full_tRNAtherapeutics/papers/17698637/17698637_PMC1986817.html	field-curation-workdir/full_tRNAtherapeutics/papers/17698637/17698637_PMC1986817.xml		0	0	0	2	2	2	2	No supplementary links were discovered automatically on the PMC page/XML.
19378306	2			2009	Angewandte Chemie (International ed. in English)	A facile system for encoding unnatural amino acids in mammalian cells.	10.1002/anie.200900683	PMC2873846	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/19378306/	https://doi.org/10.1002/anie.200900683	field-curation-workdir/full_tRNAtherapeutics/papers/19378306/19378306_PMC2873846.html	field-curation-workdir/full_tRNAtherapeutics/papers/19378306/19378306_PMC2873846.xml		1	1	0	2	2	2	2	DOI landing page download failed: HTTP 403: Forbidden
19749377	2			2009	Nucleic acids symposium series (2004)	Preparation of an ochre suppressor tRNA recognizing exclusively UAA codon by using the molecular surgery technique.	10.1093/nass/nrp148		manual_required	https://pubmed.ncbi.nlm.nih.gov/19749377/	https://doi.org/10.1093/nass/nrp148				0	0	0	2	2	2	2	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
19852970	50			2010	Journal of molecular biology	An enhanced system for unnatural amino acid mutagenesis in E. coli.	10.1016/j.jmb.2009.10.030		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/19852970/	https://doi.org/10.1016/j.jmb.2009.10.030				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
20571084	7			2010	Nucleic acids research	Rational design of an orthogonal tryptophanyl nonsense suppressor tRNA.	10.1093/nar/gkq521	PMC2965240	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/20571084/	https://doi.org/10.1093/nar/gkq521	field-curation-workdir/full_tRNAtherapeutics/papers/20571084/20571084_PMC2965240.html	field-curation-workdir/full_tRNAtherapeutics/papers/20571084/20571084_PMC2965240.xml		2	2	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
23103832	2			2013	Gene	The context of transcription start site regions is crucial for transcription of a plant tRNA(Lys)(UUU) gene group both in vitro and in vivo.	10.1016/j.gene.2012.10.022		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/23103832/	https://doi.org/10.1016/j.gene.2012.10.022				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
23274575	4			2013	Biochimie	Screening system for orthogonal suppressor tRNAs based on the species-specific toxicity of suppressor tRNAs.	10.1016/j.biochi.2012.12.010		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/23274575/	https://doi.org/10.1016/j.biochi.2012.12.010				0	0	0	1	0	1	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
23379331	2			2013	Biochemistry	A versatile platform for single- and multiple-unnatural amino acid mutagenesis in Escherichia coli.	10.1021/bi4000244	PMC3855549	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/23379331/	https://doi.org/10.1021/bi4000244	field-curation-workdir/full_tRNAtherapeutics/papers/23379331/23379331_PMC3855549.html	field-curation-workdir/full_tRNAtherapeutics/papers/23379331/23379331_PMC3855549.xml		1	1	0	1	0	1	0	DOI landing page download failed: HTTP 403: Forbidden
23874413	5			2013	PloS one	Crucial optimization of translational components towards efficient incorporation of unnatural amino acids into proteins in mammalian cells.	10.1371/journal.pone.0067333	PMC3709914	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/23874413/	https://doi.org/10.1371/journal.pone.0067333	field-curation-workdir/full_tRNAtherapeutics/papers/23874413/23874413_PMC3709914.html	field-curation-workdir/full_tRNAtherapeutics/papers/23874413/23874413_PMC3709914.xml		0	0	0	0	0	0	0	No supplementary links were discovered automatically on the PMC page/XML.
23924161	2			2013	Journal of the American Chemical Society	A genetically encoded fluorescent probe in mammalian cells.	10.1021/ja4059553	PMC3783214	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/23924161/	https://doi.org/10.1021/ja4059553	field-curation-workdir/full_tRNAtherapeutics/papers/23924161/23924161_PMC3783214.html	field-curation-workdir/full_tRNAtherapeutics/papers/23924161/23924161_PMC3783214.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
24386240	1			2013	PloS one	Suppression of amber codons in Caulobacter crescentus by the orthogonal Escherichia coli histidyl-tRNA synthetase/tRNAHis pair.	10.1371/journal.pone.0083630	PMC3875453	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/24386240/	https://doi.org/10.1371/journal.pone.0083630	field-curation-workdir/full_tRNAtherapeutics/papers/24386240/24386240_PMC3875453.html	field-curation-workdir/full_tRNAtherapeutics/papers/24386240/24386240_PMC3875453.xml		4	4	0	0	0	0	0
24424122	1			2014	European journal of human genetics : EJHG	Rescue of wild-type E-cadherin expression from nonsense-mutated cancer cells by a suppressor-tRNA.	10.1038/ejhg.2013.292	PMC4135406	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/24424122/	https://doi.org/10.1038/ejhg.2013.292	field-curation-workdir/full_tRNAtherapeutics/papers/24424122/24424122_PMC4135406.html	field-curation-workdir/full_tRNAtherapeutics/papers/24424122/24424122_PMC4135406.xml		1	1	0	0	0	0	0
25918386	6			2015	Proceedings of the National Academy of Sciences of the United States of America	Nonsense suppression in archaea.	10.1073/pnas.1501558112	PMC4434778	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/25918386/	https://doi.org/10.1073/pnas.1501558112	field-curation-workdir/full_tRNAtherapeutics/papers/25918386/25918386_PMC4434778.html	field-curation-workdir/full_tRNAtherapeutics/papers/25918386/25918386_PMC4434778.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
26405058	1			2015	Protein engineering, design & selection : PEDS	Optimisation of a system for the co-translational incorporation of a keto amino acid and its application to a tumour-specific Anticalin.	10.1093/protein/gzv048		manual_required	https://pubmed.ncbi.nlm.nih.gov/26405058/	https://doi.org/10.1093/protein/gzv048				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
26694948	2			2016	Biochemistry	Improved Incorporation of Noncanonical Amino Acids by an Engineered tRNA(Tyr) Suppressor.	10.1021/acs.biochem.5b01185	PMC4959848	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/26694948/	https://doi.org/10.1021/acs.biochem.5b01185	field-curation-workdir/full_tRNAtherapeutics/papers/26694948/26694948_PMC4959848.html	field-curation-workdir/full_tRNAtherapeutics/papers/26694948/26694948_PMC4959848.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
28076288	20			2017	Nucleic acids research	Transfer RNAs with novel cloverleaf structures.	10.1093/nar/gkw898	PMC5389517	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/28076288/	https://doi.org/10.1093/nar/gkw898	field-curation-workdir/full_tRNAtherapeutics/papers/28076288/28076288_PMC5389517.html	field-curation-workdir/full_tRNAtherapeutics/papers/28076288/28076288_PMC5389517.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
29155943	41			2017	Nucleic acids research	Logical engineering of D-arm and T-stem of tRNA that enhances d-amino acid incorporation.	10.1093/nar/gkx1129	PMC5728406	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/29155943/	https://doi.org/10.1093/nar/gkx1129	field-curation-workdir/full_tRNAtherapeutics/papers/29155943/29155943_PMC5728406.html	field-curation-workdir/full_tRNAtherapeutics/papers/29155943/29155943_PMC5728406.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
30112727	1			2019	Molecular imaging and biology	Site-Specific Labeling of F-18 Proteins Using a Supplemented Cell-Free Protein Synthesis System and O-2-[18F]Fluoroethyl-L-Tyrosine: [18F]FET-HER2 Affibody Molecule.	10.1007/s11307-018-1266-z		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/30112727/	https://doi.org/10.1007/s11307-018-1266-z				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
30778053	518			2019	Nature communications	Engineered transfer RNAs for suppression of premature termination codons.	10.1038/s41467-019-08329-4	PMC6379413	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/30778053/	https://doi.org/10.1038/s41467-019-08329-4	field-curation-workdir/full_tRNAtherapeutics/papers/30778053/30778053_PMC6379413.html	field-curation-workdir/full_tRNAtherapeutics/papers/30778053/30778053_PMC6379413.xml		6	6	0	85	0	85	0
31346230	1			2019	Scientific reports	Inducible orthogonal aminoacylation demonstrates that charging is required for mitochondrial tRNA import in Trypanosoma brucei.	10.1038/s41598-019-47268-4	PMC6658472	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/31346230/	https://doi.org/10.1038/s41598-019-47268-4	field-curation-workdir/full_tRNAtherapeutics/papers/31346230/31346230_PMC6658472.html	field-curation-workdir/full_tRNAtherapeutics/papers/31346230/31346230_PMC6658472.xml		1	1	0	0	0	0	0
33069552	2			2020	Bioorganic & medicinal chemistry	Genetic code expansion in mammalian cells: A plasmid system comparison.	10.1016/j.bmc.2020.115772	PMC7961839	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/33069552/	https://doi.org/10.1016/j.bmc.2020.115772	field-curation-workdir/full_tRNAtherapeutics/papers/33069552/33069552_PMC7961839.html	field-curation-workdir/full_tRNAtherapeutics/papers/33069552/33069552_PMC7961839.xml		1	1	0	2	2	2	2
34158503	4			2021	Nature communications	Repurposing tRNAs for nonsense suppression.	10.1038/s41467-021-24076-x	PMC8219837	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/34158503/	https://doi.org/10.1038/s41467-021-24076-x	field-curation-workdir/full_tRNAtherapeutics/papers/34158503/34158503_PMC8219837.html			4	4	0	0	0	0	0	PMC PDF download failed: [Errno 104] Connection reset by peer
34341535	25			2022	Nature biomedical engineering	Restoration of dystrophin expression in mice by suppressing a nonsense mutation through the incorporation of unnatural amino acids.	10.1038/s41551-021-00774-1		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/34341535/	https://doi.org/10.1038/s41551-021-00774-1				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
35322228	28			2022	Nature	AAV-delivered suppressor tRNA overcomes a nonsense mutation in mice.	10.1038/s41586-022-04533-3	PMC9446716	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/35322228/	https://doi.org/10.1038/s41586-022-04533-3	field-curation-workdir/full_tRNAtherapeutics/papers/35322228/35322228_PMC9446716.html	field-curation-workdir/full_tRNAtherapeutics/papers/35322228/35322228_PMC9446716.xml		2	2	0	0	0	0	0
35532803	3			2022	ACS chemical biology	Enhanced Codon-Anticodon Interaction at In-Frame UAG Stop Codon Improves the Efficiency of Non-Natural Amino Acid Mutagenesis.	10.1021/acschembio.1c00782		manual_required	https://pubmed.ncbi.nlm.nih.gov/35532803/	https://doi.org/10.1021/acschembio.1c00782				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
37258671	40			2023	Nature	Engineered tRNAs suppress nonsense mutations in cells and in vivo.	10.1038/s41586-023-06133-1	PMC10284701	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/37258671/	https://doi.org/10.1038/s41586-023-06133-1	field-curation-workdir/full_tRNAtherapeutics/papers/37258671/37258671_PMC10284701.html	field-curation-workdir/full_tRNAtherapeutics/papers/37258671/37258671_PMC10284701.xml		8	8	0	0	0	0	0
38042487	6			2024	The Journal of biological chemistry	A facile approach for incorporating tyrosine esters to probe ion-binding sites and backbone hydrogen bonds.	10.1016/j.jbc.2023.105517	PMC10790091	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/38042487/	https://doi.org/10.1016/j.jbc.2023.105517	field-curation-workdir/full_tRNAtherapeutics/papers/38042487/38042487_PMC10790091.html	field-curation-workdir/full_tRNAtherapeutics/papers/38042487/38042487_PMC10790091.xml		1	1	0	0	0	0	0
38580646	69			2024	Nature communications	Translation velocity determines the efficacy of engineered suppressor tRNAs on pathogenic nonsense mutations.	10.1038/s41467-024-47258-9	PMC10997658	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/38580646/	https://doi.org/10.1038/s41467-024-47258-9	field-curation-workdir/full_tRNAtherapeutics/papers/38580646/38580646_PMC10997658.html	field-curation-workdir/full_tRNAtherapeutics/papers/38580646/38580646_PMC10997658.xml		4	4	0	0	0	0	0
38777090	21			2024	New biotechnology	A gradient phage-assisted continuous evolution method for screening suppressor tRNAs in Escherichia coli.	10.1016/j.nbt.2024.05.005		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/38777090/	https://doi.org/10.1016/j.nbt.2024.05.005				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
39558163	25			2024	Nucleic acids research	Efficient suppression of premature termination codons with alanine by engineered chimeric pyrrolysine tRNAs.	10.1093/nar/gkae1048	PMC11662663	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/39558163/	https://doi.org/10.1093/nar/gkae1048	field-curation-workdir/full_tRNAtherapeutics/papers/39558163/39558163_PMC11662663.html	field-curation-workdir/full_tRNAtherapeutics/papers/39558163/39558163_PMC11662663.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
40491751	6			2025	Genes & diseases	MyoAAV-delivered sup-tRNA increases full-length dystrophin expression.	10.1016/j.gendis.2025.101666	PMC12148385	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/40491751/	https://doi.org/10.1016/j.gendis.2025.101666	field-curation-workdir/full_tRNAtherapeutics/papers/40491751/40491751_PMC12148385.html	field-curation-workdir/full_tRNAtherapeutics/papers/40491751/40491751_PMC12148385.xml		1	1	0	0	0	0	0
40539513	28			2025	Nucleic acids research	An engineered glutamic acid tRNA for efficient suppression of pathogenic nonsense mutations.	10.1093/nar/gkaf532	PMC12204705	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/40539513/	https://doi.org/10.1093/nar/gkaf532	field-curation-workdir/full_tRNAtherapeutics/papers/40539513/40539513_PMC12204705.html	field-curation-workdir/full_tRNAtherapeutics/papers/40539513/40539513_PMC12204705.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
40650978	8			2025	Nucleic acids research	ACE-tRNAs are a platform technology for suppressing nonsense mutations that cause cystic fibrosis.	10.1093/nar/gkaf675	PMC12255306	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/40650978/	https://doi.org/10.1093/nar/gkaf675	field-curation-workdir/full_tRNAtherapeutics/papers/40650978/40650978_PMC12255306.html	field-curation-workdir/full_tRNAtherapeutics/papers/40650978/40650978_PMC12255306.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
41261131	10	1200	1212	2025	Nature	Prime editing-installed suppressor tRNAs for disease-agnostic genome editing.	10.1038/s41586-025-09732-2	PMC12675287	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/41261131/	https://doi.org/10.1038/s41586-025-09732-2	field-curation-workdir/full_tRNAtherapeutics/papers/41261131/41261131_PMC12675287.html	field-curation-workdir/full_tRNAtherapeutics/papers/41261131/41261131_PMC12675287.xml		20	20	0	0	0	0	0
